Month;Product;Organic;Type;Land;Cost per unit;Total_cost;Amount;Weight;Total_weight
5;Tomato conserve;yes;veg&fruit;Italy;16;64;4;0,4;1,6
5;Tomato cherry;;veg&fruit;Spain;18;108;6;0,25;1,5
5;Onion;yes;veg&fruit;Sweden;18;36;2;0,5;1
5;Olive Oil Canena;;veg&fruit;Spain;179;358;2;0,5;1
5;Olive Oil;yes;veg&fruit;Spain;40;80;2;0,5;1
5;Zucchini;;veg&fruit;Spain;;36;2;;0,7
5;Fennel;;veg&fruit;Sweden;;24;1;;0,6
5;Tahini;yes;veg&fruit;;38;38;1;0,5;0,5
5;Asparagus;;veg&fruit;Peru;34;68;2;0,2;0,4
5;Lettuce;;veg&fruit;Sweden;17;51;3;0,1;0,3
5;Leek;;veg&fruit;Holland;;10;1;;0,3
5;Quorn;yes;veg&fruit;UK;37;37;1;0,3;0,3
5;Kalamata olives;yes;veg&fruit;Greece;32;32;1;0,29;0,29
5;Raisins;;veg&fruit;USA;14;14;1;0,25;0,25
5;Lemon;;veg&fruit;Spain;4;8;2;0,1;0,2
5;Buljong;yes;veg&fruit;Switzerland;65;65;1;0,2;0,2
5;Rucula;yes;veg&fruit;Sweden;17;34;2;0,065;0,13
5;Baby spinach;yes;veg&fruit;Sweden;17;17;1;0,06;0,06
6;Bread;;cereals;Sweden;30;60;2;0,6;1,2
6;Arborio ris;;cereals;Italy;30;30;1;1;1
6;Tortilla;;cereals;Sweden;20;40;2;0,38;0,76
6;Whole rice;;cereals;Spain;23;23;1;0,6;0,6
6;A-fil;yes;dairy;Sweden;14;210;15;1;15
6;Milk;;dairy;Sweden;12;108;9;1;9
6;Cream;yes;dairy;Sweden;11;44;4;0,25;1
6;Feta;;dairy;Greece;20;40;2;0,15;0,3
6;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
6;Manchego Cheese;;dairy;Spain;33;33;1;0,2;0,2
6;Cod;yes;fish;Norway;35;35;1;0,4;0,4
6;Salmon;yes;fish;Norway;49;49;1;0,28;0,28
6;Salmon smoked;;fish;Norway;40;40;1;0,2;0,2
6;Mussels;;fish;Canada;62;62;1;0,2;0,2
6;Reindeer;yes;meat;Sweden;41;82;2;0,24;0,48
6;Bacon;yes;meat;Sweden;18;18;1;0,12;0,12
6;Prosciutto;;meat;Italy;36;36;1;0,08;0,08
6;Pizza;;other;Germany;30;90;3;0,375;1,125
6;Chocolate;;other;Switzerland;24;48;2;0,1;0,2
6;Blueberry juice;;veg&fruit;Sweden;20;80;4;1;4
6;Orange red;;veg&fruit;Italy;;30;;;3
6;Tomato conserve;yes;veg&fruit;Italy;16;48;3;0,4;1,2
6;Bananas;yes;veg&fruit;Dominican Republic;;28;2;;1,1
6;Carrots;yes;veg&fruit;Sweden;20;20;1;1;1
6;Chunky Salsa;;veg&fruit;Sweden;24;48;2;0,35;0,7
6;Zucchini;;veg&fruit;Spain;;36;;;0,7
6;Fennel;;veg&fruit;Sweden;;24;;;0,6
6;Black Eyed Peas;;veg&fruit;Italy;11;11;1;0,4;0,4
6;Spinach;;veg&fruit;Sweden;13;13;1;0,4;0,4
6;Leek;;veg&fruit;Holland;;10;;;0,3
6;Quorn;yes;veg&fruit;UK;37;37;1;0,3;0,3
6;Äpplemos;yes;veg&fruit;Sweden;18;18;1;0,3;0,3
6;Raisins;yes;veg&fruit;USA;22;22;1;0,25;0,25
6;Herbs;;veg&fruit;Sweden;15;15;1;0,2;0,2
6;Lantbuljong;yes;veg&fruit;Switzerland;65;65;1;0,2;0,2
6;Asparagus;;veg&fruit;Peru;34;34;1;0,2;0,2
6;Garlic;yes;veg&fruit;Spain;20;20;1;0,2;0,2
